TIC,TOI,Disposition,R_p,Period_p,Epoch_p,RA,Dec,H_mag,V_mag,M_*_TIC8,R_*_TIC8,Teff_*_TIC8,a/R*,N_pl
159742538,2124.01,KP,21.203,3.553928,2767.927156,268.304371,37.211829,10.35,11.932,1.18,2.01,6220,5.16,1
116242971,2125.01,KP,15.42,5.031635,3505.171214,267.640491,36.570223,9.385,10.585,1.26,2.16,6210,6.17,1
116264089,2126.01,KP,16.759,1.306188,2391.063502,268.029244,37.546177,10.655,12.362,0.96,0.82,5484,6.05,1
21744120,2127.01,KP,10.73,5.508068,1983.744992,256.346448,33.012483,10.34,12.597,0.77,0.74,4692,16.28,1
21832928,2128.01,P,2.629,16.341389,1987.266354,256.982623,32.105484,5.872,7.221,1.1,1.13,6070,24.87,1
101721385,2129.01,KP,14.325,4.627664,2762.100336,260.11616,38.242197,8.927,9.988,1.43,1.55,6429,8.53,1
320798691,2130.01,KP,13.631,5.005261,2010.827728,271.537708,26.426664,10.128,11.667,1.15,1.47,5820,8.8,1
27848472,2131.01,KP,16.415,1.846835,3338.136035,278.631773,35.661525,9.407,10.632,1.26,1.36,6316,5.03,1
358516596,2132.01,KP,21.05,3.244045,2391.154184,283.305518,24.127383,9.269,10.845,1.02,1.39,5551,6.67,1
39200363,2133.01,VPC,2.454,3.826659,1985.882828,261.243922,32.79812,9.144,12.008,0.65,0.72,4175,12.45,1
75878355,2134.01,P,3.218,9.229208,3496.590963,271.9352,39.074146,6.247,8.933,0.69,0.77,4406,21.26,2
75878355,2134.02,P,5.955,95.853163,3485.79438,271.9352,39.074146,6.247,8.933,0.69,0.77,4406,101.22,2
76419763,2135.01,KP,13.943,2.788472,2414.394742,274.40547,36.621436,10.522,11.954,1.05,1.13,5826,7.51,1
336128819,2136.01,VP,2.171,7.851908,2394.593726,281.176525,36.562368,9.604,14.32,0.33,0.34,3460,33.32,1
23059280,2137.01,APC,18.632,14.150227,2393.08477,274.143862,34.173051,10.915,13.013,0.8,0.87,4842,26.13,1
336267424,2138.01,EB,27.508,1.482184,1684.221959,281.661892,41.560053,11.851,12.927,1.48,1.31,6466,4.75,1
308172249,2139.01,KP,13.998,1.401378,2768.65359,267.284975,29.879095,11.123,13.181,0.82,0.93,4923,5.28,1
399860444,2140.01,KP,13.77,2.470611,2012.510963,286.808491,49.316414,9.92,11.254,1.06,1.02,5793,7.71,1
287256467,2141.01,P,2.864,18.261688,3453.432236,258.762109,18.340768,7.92,9.46,1.01,0.94,5674,31.11,1
44313455,2142.01,VPC+,1.555,9.300435,2014.835542,267.04687,15.979651,9.038,13.278,0.35,0.36,3570,36.06,1
103195323,2143.01,VPC,12.121,5.58994,3470.992666,62.573048,75.170901,9.564,10.434,1.7,1.95,6749,8.11,1
428988981,2144.01,CPC,2.157,37.341318,3434.655004,350.251399,79.441448,8.849,10.501,0.95,0.88,5413,52.85,1
88992642,2145.01,P,12.257,10.261133,3470.361827,263.758112,40.695057,7.81,9.07,1.19,2.78,6120,7.58,1
158916431,2146.01,NEB,17.442,5.892486,2765.039868,269.990006,29.655212,9.416,10.222,1.64,2.13,7107,7.61,1
