KIC,TIC,Vmag,VmagErr
8360041,159178437,14.555,0.103
9782748,272495993,15.933,0.138
2860656,138037172,15.331,0.423
7094944,164412999,15.805,0.137
6425597,120421166,15.61,0.16
10917433,407002201,12.464,0.08
5091479,122064364,15.231,0.16
8874090,158392088,16.211,0.195
8331612,185184560,16.261,0.16
8328916,240193760,14.688,0.114
10155029,272600589,12.17,0.057
11618569,27531737,14.244,0.103
11973517,351193235,16.046,0.126
7345248,352008052,13.287,0.126
6690171,159768333,15.801,0.217
5193659,138425988,15.288,0.172
6220312,184252938,15.651,0.092
6358937,122297250,14.473,0.114
7771181,273140687,15.908,0.092
4366323,137403519,15.962,0.138
2853029,137220262,15.997,0.126
6955671,270781008,15.778,0.206
5097856,137154933,15.017,0.08
8278073,123318083,14.452,0.092
10810859,27916526,15.564,0.069
6767227,158793333,13.102,0.103
2986833,122607543,16.307,0.217
11853130,48503927,16.867,1.133
9345933,275575023,16.343,0.046
11338056,48451025,14.989,0.103
10676750,27771744,15.178,0.149
9581589,158935659,14.59,0.114
11804437,405717775,12.369,0.057
8280511,164414655,13.578,0.16
4813793,350989047,13.117,0.046
7266212,158215933,14.843,0.217
9419020,273042561,16.446,1.133
4270799,138302462,15.446,0.035
8811490,158843421,13.972,0.08
8094120,159442367,13.616,0.069
9935642,164525952,15.166,0.149
7285757,240184288,15.661,0.195
4262040,137217142,11.887,0.046
4840672,138093451,16.393,0.046
7287677,270611164,14.851,0.137
7692248,271348069,15.895,0.149
6691169,63005464,15.743,0.149
6520519,159653738,15.616,0.252
9459162,159049890,13.025,0.08
9969287,273877137,15.839,0.08
10747501,28230355,15.903,0.435
10586744,279844786,14.312,0.149
11970050,27388867,15.909,0.572
5308296,172372549,16.066,0.069
3122872,137892347,11.807,0.057
9702945,158787028,13.616,0.092
11401253,417676838,13.546,0.021
10549902,273047111,14.692,0.126
12416597,27534460,14.941,0.172
10065053,158488286,15.843,0.149
10291589,273594115,15.354,0.126
10118266,123130468,15.149,0.16
5695615,121660680,15.506,0.286
5651846,172374550,15.695,0.217
12401132,298787354,14.315,0.08
6424561,164729904,15.055,0.183
10000162,158211095,15.248,0.195
7949593,158556767,15.215,0.092
7098255,164730883,15.837,0.275
4670361,184164917,14.063,0.103
10584140,164723295,13.8,0.103
8233326,63009976,13.329,0.057
4940203,184296407,14.326,0.114
10935993,28449818,15.041,0.103
5257082,120497372,15.146,0.069
8628665,275573139,15.177,0.103
5881307,138100143,15.692,0.549
4645174,121786521,14.728,0.08
6124137,137408113,13.973,0.057
11657614,299219860,14.929,0.035
5687986,120496643,13.246,0.046
11125797,279917678,13.967,0.114
6543893,169465273,15.522,0.15
6705026,271752712,14.52,0.114
5553959,169081993,15.792,0.012
5384713,169460096,14.649,0.039
6451368,377913228,12.688,0.069
8644365,273690208,13.411,0.092
5888187,139158306,13.71,0.069
3348216,137892839,14.983,0.217
10793576,406948103,14.099,0.149
7047922,271960115,14.467,0.206
5894182,360023399,11.964,0.026
6947668,159767766,15.88,0.103
10290666,273377282,13.194,0.103
3848966,122716702,14.767,0.183
9452897,279911915,16.148,0.183
6209677,138099276,14.811,0.183
9664276,273131793,14.542,0.08
7748487,159306525,15.661,0.309
3219037,120962684,14.888,0.229
5710069,138095900,15.738,0.058
9967009,273378774,16.14,0.275
6200810,122444585,15.318,0.149
3561464,184015844,13.6,0.103
4844470,138643306,14.35,0.114
9995771,164558338,15.455,0.343
9966219,273373114,14.615,0.195
6231721,171094604,15.83,0.149
9536108,271773891,14.507,0.137
8905246,273688701,14.117,0.114
5460434,138969005,11.066,0.012
