,name,disposition,period_p,period_p_error,epoch_p,epoch_p_err,duration,radius_p,a/R*,ecc,ecc_err,omega,omega_err,ecosw,ecc_source,mass_p,mass_p_err,predicted_K_p,mass_sigma_needed,current_mass_sigma,logg_p,teq_p,teff_*,mass_*,radius_*,met_*,RA,dec,vmag,hmag,Met*_KIC,KPF_30min_RVSig,Nobs_30m_KPF,logCtoO,mmw,FoM_trans,FoM_emiss,eclipse_depth,LastScheduledTransitDate,LastScheduledTransitSector,LastEM3TransitDate,LastEM3TransitSector,LastEM4TransitDate,LastEM4TransitSector
1304,3954.01,VPC,3.4043154,7.1e-06,2459878.2522408,0.0018717,0.805,20.3568,9.69,0.0014957069583286687,,304.92095053877574,,-0.0008562110594532379,SH,436.18,,179.48243792740942,2.0,0.0,1.013403221381448,1324.997595262339,5833.0,1.05,1.0,0.0,323.985178,61.209144,14.315,12.042,,2.491590194945048,0.0023125469166205437,-0.26,2.35,0.9522649733771658,0.006531072622667318,0.0001672570809309993,2460634.0102596,85,2461587.2185716,24,2462237.4428129997,17
1305,3956.01,VPC-,2.6686464,5.5e-06,2459716.7087241,0.0013383,1.249,12.9106,8.69,0.0030036589470432374,,132.46573883759865,,-0.0020279179864177784,SH,393.01,,195.82752418601117,2.0,0.0,1.3636672420935598,1253.798119244276,5227.0,0.89,0.9,0.0,229.220163,51.397855,13.823,11.918,,1.472809454588747,0.0006787766692283311,-0.26,2.35,0.3334711065616106,0.0029382267224804695,7.106983451994717e-05,2460421.2313737003,77,2461587.4298505,24,2462209.2244617003,16
1306,3960.01,VPC+,3.2399875,2e-06,2459716.1896212,0.000393,2.749,13.613,9.42,1.5376725553813105e-05,,141.5068554124706,,-1.203509607147455e-05,SH,405.71,,178.92813418143032,2.0,0.0,1.3314645162517362,1271.9712579708844,5521.0,0.97,0.97,0.0,238.858095,67.042902,13.802,12.194,,1.5730930275152404,0.0009275403080713057,-0.26,2.35,0.2912457450988472,0.002448942326945394,6.726335995942827e-05,2460633.1060837,85,2461640.7421962,26,2462337.3395086997,21
1307,3962.01,VPC,3.3501179,9.7e-06,2459879.6005819,0.0023919,1.651,17.5987,3.91,0.39939206206328126,,171.00393715877357,,0.39447917540400335,SH,437.5,,179.60884978440612,2.0,0.0,1.1411733741358279,2230.7042457988605,6238.0,1.21,2.57,0.0,355.081117,62.136761,13.263,11.135,,1.4233843149774172,0.0007536507476831937,-0.26,2.35,0.23742114376198625,0.01457345078115755,0.0002457889750531517,2460633.3771094,85,2461588.1607109,24,2462261.5344088003,18
1308,3963.01,PC,6.2329571,4.43e-05,2459876.9413217,0.0065253,3.043,14.2956,9.53,0.09692585900935288,,263.4240649022239,,0.011099940854514195,SH,415.25,,135.22940085564133,2.0,0.0,1.2990613583579587,1377.9909947209399,6016.0,1.11,1.55,0.0,354.138366,60.526258,13.201,11.086,,1.2789319997354913,0.0010733315762100795,-0.26,2.35,0.2328951498557596,0.002529093722371141,4.170277199338116e-05,2460631.1291308,85,2461584.7715670997,24,2462257.9309338997,18
1309,3970.01,VPC,10.6001229,6.41e-05,2459894.3258937,0.0041296,5.375,10.601,13.44,0.6738033522000518,,160.30617841745246,,-0.6343904983159623,SH,315.13,,124.15170103737103,2.0,0.0,1.438952573335797,1089.1887715449163,5647.0,1.0,1.51,0.0,296.066272,77.235416,14.005,12.345,,1.800334593928452,0.0025233782228663323,-0.26,2.36,0.05812136604731322,0.00017291941896387583,5.091476781011481e-06,2460657.5347425,86,2461632.7460493003,26,2462311.1539149,20
1310,3972.01,VPC+,10.511362,4.9e-06,2459903.238824,0.0003858,3.112,11.935,22.47,0.39025233576375185,,300.7621094065918,,-0.19960420001001217,SH,368.76,,111.76476844654069,2.0,0.0,1.4042554525153232,881.3003702933115,5908.0,1.07,0.92,0.0,9.303753,61.205187,11.349,9.685,,0.462994987891705,0.00020593206760611367,-0.26,2.35,0.5281432096465851,0.00027852461661185526,2.4091485795855446e-06,2460618.01144,85,2461585.056744,24,2462257.7839120002,18
1311,3973.01,VPC+,2.0615575,9.1e-06,2459716.3885086,0.0024726,1.694,8.827,5.92,0.0032782491622912334,,346.392814335388,,0.0031862336353107733,SH,189.75,,87.88036667344502,2.0,0.0,1.377712024289708,1773.0671099401038,6101.0,1.13,1.2,0.0,229.679924,44.456251,13.408,12.136,,1.5036498620364367,0.0035131036471809127,-0.26,2.397,0.15570409833969856,0.003978859083709556,0.00010640414793906697,2460450.3029786004,78,2461588.2827186002,24,-1.0,-1
1312,3974.01,VPC+,1.7922888,1.9e-06,2459715.0604531,0.0005753,1.622,12.6983,6.65,0.01756473511642777,,236.5297267883406,,-0.00968702634412007,SH,388.42,,227.91793229543057,2.0,0.0,1.3729669105002071,1397.3448506288444,5096.0,0.85,0.89,0.0,236.236522,45.627647,14.194,12.175,,1.8507770695320833,0.0007912841630280308,-0.26,2.35,0.3250414074918116,0.0055660093850689926,0.00015154581033501298,2460448.1065723,78,2461589.7945379,24,-1.0,-1
1313,3977.01,VPC-,23.2547644,9.41e-05,2459679.9421812,0.0024894,7.935,10.7553,38.83,0.005400590938203124,,184.5019756377317,,-0.005383928104855376,SH,322.47,,72.2465076348161,2.0,0.0,1.4364007529702678,638.5254650427909,5627.0,1.0,0.88,0.0,231.126433,46.694771,11.744,10.211,,0.5122459551446518,0.0006032601043856347,-0.26,2.356,0.27400826412154117,4.955904412480216e-06,5.461638122929663e-08,2460447.3494063998,78,2461586.832862,24,2462191.4567364,16
