pl_name,pl_orbper,pl_radius,pl_radiuserr1,pl_radiuserr2,pl_radius_sigma,pl_mass,pl_masserr1,pl_masserr2,pl_mass_sigma
TOI-858 B b,3.2797178,14.067,0.437,-0.437,32.18993135,349.61125,25.42627,-22.24799,13.75000147
TOI-220 b,10.695264,3.03,0.15,-0.15,20.2,13.8,1,-1,13.8
WASP-44 b,2.423804,12.33,0.908,-0.852,13.57929515,276.5121,20.02329,-19.70546,13.80952381
WASP-178 b,3.3448285,20.288,1.009,-1.009,20.10703667,527.5978,38.1396,-38.1396,13.83333333
TOI-2145 b,10.26075,11.982,0.325,-0.314,36.86769231,1671.77742,120.77479,-117.59651,13.84210579
LHS 1140 b,24.73694,1.635,0.046,-0.046,35.54347826,6.38,0.46,-0.44,13.86956522
TOI-1288 b,2.699835,5.24,0.09,-0.09,58.22222222,42,3,-3,14
HD 189733 b,2.21857567,12.666,0.112,-0.112,113.0892857,359.1479,25.4264,-25.4264,14.125
TOI-3331 A b,2.0180231,12.98,0.482,-0.482,26.92946058,721.47048,50.85255,-50.85255,14.18749856
K2-141 b,0.2803244,1.51,0.05,-0.05,30.2,4.97,0.35,-0.34,14.2
HD 3167 c,29.8454,3,0.45,-0.21,6.666666667,11.13,0.78,-0.74,14.26923077
HD 191939 b,8.8803256,3.41,0.075,-0.075,45.46666667,10,0.7,-0.7,14.28571429
Kepler-1704 b,988.88112,11.949,0.493,-0.471,24.23732252,1322.16617,92.17024,-88.99195,14.34482725
WASP-192 b,2.8786765,13.787,0.897,-0.897,15.37012263,731.009,50.8528,-50.8528,14.375
WASP-19 b,0.78883852,15.861,0.493,-0.538,29.48141264,366.77398,24.79062,-25.42627,14.42500139
HATS-15 b,1.74748753,12.386,0.448,-0.448,27.64732143,689.6911,47.6745,-47.6745,14.46666667
HD 202772 A b,3.308958,17.318,0.583,-0.673,25.73254086,323.23311,22.2481,-21.61244,14.52857143
WASP-87 b,1.682795,15.524,0.673,-0.673,23.06686478,692.8694,47.6745,-47.6745,14.53333333
HATS-25 b,4.2986432,14.123,1.121,-1.121,12.5985727,194.82979,13.34886,-13.34886,14.5952381
