,Unnamed: 0,name,disposition,period_p,period_p_error,epoch_p,epoch_p_err,duration,radius_p,a/R*,ecc,ecc_err,omega,omega_err,ecosw,ecc_source,mass_p,mass_p_err,predicted_K_p,mass_sigma_needed,current_mass_sigma,logg_p,teq_p,teff_*,mass_*,radius_*,met_*,RA,dec,vmag,hmag,Met*_KIC,KPF_30min_RVSig,Nobs_30m_KPF,logCtoO,mmw,FoM_trans,FoM_emiss,eclipse_depth,LastScheduledTransitDate,LastScheduledTransitSector,LastEM3TransitDate,LastEM3TransitSector,LastEM4TransitDate,LastEM4TransitSector
5303,5303,TOI-1266 b,KP,10.8945,0.00023,2458691.0068,0.0017,2.1288,2.52,35.97,0.039,0.035,0.0,,0.039,SH,4.46,0.69,2.2357589667407813,0.0,6.463768115942029,0.8376902700459206,415.0,3563.0,0.437,0.4232,-0.109,197.9965833,65.8336973,12.941,9.065,,-1.0,0.0,-0.26,4.053,0.7056587639129838,3.626805052859552e-09,2.3578936459503367e-11,2460390.5488,76,2461523.5768,22,2462329.7698000004,21
5304,5304,TOI-1266 c,KP,18.8027,0.00126,2458689.9588,0.0028,1.951,1.98,51.63,0.071,,0.0,,0.071,SH,3.17,0.76,1.3271332241322096,5.0,4.171052631578947,0.8988853745915562,346.0,3563.0,0.437,0.4232,-0.109,197.9965833,65.8336973,12.941,9.065,,0.4989488033950711,10.600935470545831,-0.26,4.062,0.4006166281253334,3.390577255759372e-11,2.2043149413711667e-13,2460382.2018,76,2461529.1665000003,22,2462337.6826,21
5305,5305,TOI-1268 b,KP,8.1577094,4.5e-06,2458711.7477,0.00021,4.001,9.1,,0.105,0.04,-40.6,20.7,0.0797234872701624,SH,96.4,8.2,31.63627775931092,0.0,11.756097560975611,1.0571507421575106,918.9,5300.0,0.96,0.92,0.36,198.3885831,62.3053799,10.92,9.034,,-1.0,0.0,-0.26,2.756,1.0745047203911724,0.0004059433446204,2.6017491755162956e-06,2460375.9204176,76,2461526.157443,22,2462341.928383,21
5308,5308,TOI-1273 b,KP,4.631296,3e-06,2458712.3468,0.0004,1.435,11.09689089,,0.055,0.032,110.0,140.0,-0.0188111078829117,SH,70.55790635,4.76742611,26.073507219751153,0.0,14.79999998363897,0.749299546757301,1211.0,5690.0,1.06,1.06,0.07,214.1208564,58.3902534,10.98,9.515,,-1.0,0.0,-0.26,2.661,2.1932775896100503,0.0031214129002647,2.496612961652621e-05,2460421.295024,77,2461560.59384,23,2462208.97528,16
5316,5316,TOI-132 b,KP,2.1097019,1.2e-05,2458333.23095,0.00094,2.1210828,3.42,6.362,0.059,0.05,125.88,57.23,-0.0345792842254726,SH,22.4,1.9,11.417091594540125,0.0,11.789473684210526,1.2733522991187596,1395.0,5397.0,0.97,0.9,0.16,338.3996623,-43.436872,11.197,9.762,,-1.0,0.0,-0.26,3.696,0.2076516216552087,0.0010550999140767,9.455697882161067e-06,2460907.0672680004,95,-1.0,-1,2461801.5808736,1
5317,5317,TOI-1338 b,KP,95.4001,0.0062,2459238.21949,0.0051024,11.6316864,7.661,,0.0331,0.0022,71.9,1.9,0.0102833898207772,SH,11.3,2.1,1.4906559242374922,0.0,5.380952380952381,0.2756640117009361,254.65,5723.2,1.0936,1.313,0.01,92.1330955,-59.5409853,11.722,10.695,,-1.0,0.0,-0.26,4.4,0.2169138568643638,1.0026720798119285e-15,1.3808894825125757e-17,2460860.02119,94,-1.0,-1,2462100.22249,12
5322,5322,TOI-1408 c,KP,2.1664,0.0001,2458739.847,0.004,2.67,2.22,5.04,0.1353,0.0001,286.3,0.3,0.0379742057169825,SH,7.6,0.2,3.1630805916451465,0.0,37.99999999999999,1.179264136276381,1864.0,6117.0,1.312,1.53,0.25,313.5110469,72.5806455,9.270001,8.141,,-1.0,0.0,-0.26,5.881,0.102613617686679,0.0012352206324905,5.24740442615935e-06,2460661.4438,86,2461614.6598,25,2462290.5766000003,19
5324,5324,TOI-1411 b,KP,1.4520527,1.7e-06,2458739.47404,0.00046,1.5088724,1.19880592,,0.0,,90.0,,0.0,SH,2.0,1.2,1.5797704215584971,2.0,1.6666666666666667,1.1346887306960085,976.4,4115.0,0.6045,0.614,0.012,232.946047,47.0555507,10.51,7.372,,0.2105553337593857,0.2131698524029798,-0.26,4.235,0.3951864597765419,0.0001041168994872,3.1039965273305993e-07,2460451.4441732997,78,2461589.8534901,24,2462212.7840984,16
5325,5325,TOI-1416 b,KP,1.0697568,2.8e-06,2458739.4621,0.0008,1.5,1.62,5.14,0.0,,278.28364983423216,,0.0,SH,3.48,0.47,2.5291253913133183,0.0,7.404255319148937,1.113705707758186,1517.0,4884.0,0.798,0.793,0.08,216.9234892,41.9529862,9.91,7.815,,-1.0,0.0,-0.26,4.831,0.3731777736567492,0.0015229282009015,5.5677461825034375e-06,2460423.2593032,77,2461562.5502952,23,2462212.9624296003,16
5326,5326,TOI-1420 b,KP,6.9561063,1.7e-06,2459517.43305,0.00012,3.372,11.89,16.53,0.17,,-165.0,77.0,-0.1642073904691416,SH,25.1,3.8,8.606858303829016,0.0,6.605263157894737,0.2404665051405218,957.0,5510.0,0.987,0.923,0.28,322.9418092,66.3490054,11.655,10.191,,-1.0,0.0,-0.26,3.745,4.114114336532681,0.0005452587233703,5.9539148927611905e-06,2460630.410058,85,2461583.3966211,24,2462258.1389322,18
